=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: PathExprSeg(SELF)    | Type: PathExprSegNode           | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: parent               | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: PathExprSeg(SELF)    | Type: PathExprSegNode           | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: group_id             | Type: IdentifierNode            | Symbol: null
Node: Function(find_with_path_compression) | Type: FunctionNode              | Symbol: Symbol{name='find_with_path_compression', kind=FUNCTION, scopeLevel=0}
Node: find_with_path_compression | Type: IdentifierNode            | Symbol: Symbol{name='find_with_path_compression', kind=FUNCTION, scopeLevel=0}
Node: nodes                | Type: IdentifierNode            | Symbol: Symbol{name='nodes', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(DisjointSetNode) | Type: PathExprSegNode           | Symbol: Symbol{name='DisjointSetNode', kind=STRUCT, scopeLevel=0}
Node: DisjointSetNode      | Type: IdentifierNode            | Symbol: Symbol{name='DisjointSetNode', kind=STRUCT, scopeLevel=0}
Node: node_id              | Type: IdentifierNode            | Symbol: Symbol{name='node_id', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='node_id', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(node_id) | Type: PathExprSegNode           | Symbol: Symbol{name='node_id', kind=PARAMETER, scopeLevel=1}
Node: node_id              | Type: IdentifierNode            | Symbol: Symbol{name='node_id', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='node_id', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(node_id) | Type: PathExprSegNode           | Symbol: Symbol{name='node_id', kind=PARAMETER, scopeLevel=1}
Node: node_id              | Type: IdentifierNode            | Symbol: Symbol{name='node_id', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='nodes', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(nodes)   | Type: PathExprSegNode           | Symbol: Symbol{name='nodes', kind=PARAMETER, scopeLevel=1}
Node: nodes                | Type: IdentifierNode            | Symbol: Symbol{name='nodes', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='node_id', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(node_id) | Type: PathExprSegNode           | Symbol: Symbol{name='node_id', kind=PARAMETER, scopeLevel=1}
Node: node_id              | Type: IdentifierNode            | Symbol: Symbol{name='node_id', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExprSeg(is_root) | Type: PathExprSegNode           | Symbol: null
Node: is_root              | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='node_id', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(node_id) | Type: PathExprSegNode           | Symbol: Symbol{name='node_id', kind=PARAMETER, scopeLevel=1}
Node: node_id              | Type: IdentifierNode            | Symbol: Symbol{name='node_id', kind=PARAMETER, scopeLevel=1}
Node: parent               | Type: IdentifierNode            | Symbol: Symbol{name='parent', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='nodes', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(nodes)   | Type: PathExprSegNode           | Symbol: Symbol{name='nodes', kind=PARAMETER, scopeLevel=1}
Node: nodes                | Type: IdentifierNode            | Symbol: Symbol{name='nodes', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='node_id', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(node_id) | Type: PathExprSegNode           | Symbol: Symbol{name='node_id', kind=PARAMETER, scopeLevel=1}
Node: node_id              | Type: IdentifierNode            | Symbol: Symbol{name='node_id', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: parent               | Type: IdentifierNode            | Symbol: null
Node: root                 | Type: IdentifierNode            | Symbol: Symbol{name='root', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='find_with_path_compression', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(find_with_path_compression) | Type: PathExprSegNode           | Symbol: Symbol{name='find_with_path_compression', kind=FUNCTION, scopeLevel=0}
Node: find_with_path_compression | Type: IdentifierNode            | Symbol: Symbol{name='find_with_path_compression', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='nodes', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(nodes)   | Type: PathExprSegNode           | Symbol: Symbol{name='nodes', kind=PARAMETER, scopeLevel=1}
Node: nodes                | Type: IdentifierNode            | Symbol: Symbol{name='nodes', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='parent', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(parent)  | Type: PathExprSegNode           | Symbol: Symbol{name='parent', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: parent               | Type: IdentifierNode            | Symbol: Symbol{name='parent', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='nodes', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(nodes)   | Type: PathExprSegNode           | Symbol: Symbol{name='nodes', kind=PARAMETER, scopeLevel=1}
Node: nodes                | Type: IdentifierNode            | Symbol: Symbol{name='nodes', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='node_id', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(node_id) | Type: PathExprSegNode           | Symbol: Symbol{name='node_id', kind=PARAMETER, scopeLevel=1}
Node: node_id              | Type: IdentifierNode            | Symbol: Symbol{name='node_id', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: parent               | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='root', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(root)    | Type: PathExprSegNode           | Symbol: Symbol{name='root', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: root                 | Type: IdentifierNode            | Symbol: Symbol{name='root', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='root', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(root)    | Type: PathExprSegNode           | Symbol: Symbol{name='root', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: root                 | Type: IdentifierNode            | Symbol: Symbol{name='root', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: Function(union_by_rank_and_size) | Type: FunctionNode              | Symbol: Symbol{name='union_by_rank_and_size', kind=FUNCTION, scopeLevel=0}
Node: union_by_rank_and_size | Type: IdentifierNode            | Symbol: Symbol{name='union_by_rank_and_size', kind=FUNCTION, scopeLevel=0}
Node: nodes                | Type: IdentifierNode            | Symbol: Symbol{name='nodes', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(DisjointSetNode) | Type: PathExprSegNode           | Symbol: Symbol{name='DisjointSetNode', kind=STRUCT, scopeLevel=0}
Node: DisjointSetNode      | Type: IdentifierNode            | Symbol: Symbol{name='DisjointSetNode', kind=STRUCT, scopeLevel=0}
Node: node_a               | Type: IdentifierNode            | Symbol: Symbol{name='node_a', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: node_b               | Type: IdentifierNode            | Symbol: Symbol{name='node_b', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExprSeg(bool)    | Type: PathExprSegNode           | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: bool                 | Type: IdentifierNode            | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: root_a               | Type: IdentifierNode            | Symbol: Symbol{name='root_a', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='find_with_path_compression', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(find_with_path_compression) | Type: PathExprSegNode           | Symbol: Symbol{name='find_with_path_compression', kind=FUNCTION, scopeLevel=0}
Node: find_with_path_compression | Type: IdentifierNode            | Symbol: Symbol{name='find_with_path_compression', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='nodes', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(nodes)   | Type: PathExprSegNode           | Symbol: Symbol{name='nodes', kind=PARAMETER, scopeLevel=1}
Node: nodes                | Type: IdentifierNode            | Symbol: Symbol{name='nodes', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='node_a', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(node_a)  | Type: PathExprSegNode           | Symbol: Symbol{name='node_a', kind=PARAMETER, scopeLevel=1}
Node: node_a               | Type: IdentifierNode            | Symbol: Symbol{name='node_a', kind=PARAMETER, scopeLevel=1}
Node: root_b               | Type: IdentifierNode            | Symbol: Symbol{name='root_b', kind=LOCAL_VARIABLE, scopeLevel=2}
