=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: count                | Type: IdentifierNode            | Symbol: Symbol{name='count', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='printInt', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(printInt) | Type: PathExprSegNode           | Symbol: Symbol{name='printInt', kind=FUNCTION, scopeLevel=0}
Node: printInt             | Type: IdentifierNode            | Symbol: Symbol{name='printInt', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: PathExprSeg(SELF)    | Type: PathExprSegNode           | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: data                 | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='current', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(current) | Type: PathExprSegNode           | Symbol: Symbol{name='current', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: current              | Type: IdentifierNode            | Symbol: Symbol{name='current', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='current', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(current) | Type: PathExprSegNode           | Symbol: Symbol{name='current', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: current              | Type: IdentifierNode            | Symbol: Symbol{name='current', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='current', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(current) | Type: PathExprSegNode           | Symbol: Symbol{name='current', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: current              | Type: IdentifierNode            | Symbol: Symbol{name='current', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: PathExprSeg(SELF)    | Type: PathExprSegNode           | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: capacity             | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='count', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(count)   | Type: PathExprSegNode           | Symbol: Symbol{name='count', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: count                | Type: IdentifierNode            | Symbol: Symbol{name='count', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='count', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(count)   | Type: PathExprSegNode           | Symbol: Symbol{name='count', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: count                | Type: IdentifierNode            | Symbol: Symbol{name='count', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: PathExprSeg(SELF)    | Type: PathExprSegNode           | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: size                 | Type: IdentifierNode            | Symbol: null
Node: Function(priority_enqueue) | Type: FunctionNode              | Symbol: Symbol{name='priority_enqueue', kind=FUNCTION, scopeLevel=1}
Node: priority_enqueue     | Type: IdentifierNode            | Symbol: Symbol{name='priority_enqueue', kind=FUNCTION, scopeLevel=1}
Node: SelfPara             | Type: SelfParaNode              | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: value                | Type: IdentifierNode            | Symbol: Symbol{name='value', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
