=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: create_node          | Type: IdentifierNode            | Symbol: Symbol{name='create_node', kind=FUNCTION, scopeLevel=0}
Node: pool                 | Type: IdentifierNode            | Symbol: Symbol{name='pool', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(NodePool) | Type: PathExprSegNode           | Symbol: Symbol{name='NodePool', kind=STRUCT, scopeLevel=0}
Node: NodePool             | Type: IdentifierNode            | Symbol: Symbol{name='NodePool', kind=STRUCT, scopeLevel=0}
Node: val                  | Type: IdentifierNode            | Symbol: Symbol{name='val', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='pool', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(pool)    | Type: PathExprSegNode           | Symbol: Symbol{name='pool', kind=PARAMETER, scopeLevel=1}
Node: pool                 | Type: IdentifierNode            | Symbol: Symbol{name='pool', kind=PARAMETER, scopeLevel=1}
Node: size                 | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='pool', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(pool)    | Type: PathExprSegNode           | Symbol: Symbol{name='pool', kind=PARAMETER, scopeLevel=1}
Node: pool                 | Type: IdentifierNode            | Symbol: Symbol{name='pool', kind=PARAMETER, scopeLevel=1}
Node: nodes                | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='pool', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(pool)    | Type: PathExprSegNode           | Symbol: Symbol{name='pool', kind=PARAMETER, scopeLevel=1}
Node: pool                 | Type: IdentifierNode            | Symbol: Symbol{name='pool', kind=PARAMETER, scopeLevel=1}
Node: size                 | Type: IdentifierNode            | Symbol: null
