=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: compute_z_array_recursive | Type: IdentifierNode            | Symbol: Symbol{name='compute_z_array_recursive', kind=FUNCTION, scopeLevel=0}
Node: analyzer             | Type: IdentifierNode            | Symbol: Symbol{name='analyzer', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(HybridAnalyzer) | Type: PathExprSegNode           | Symbol: Symbol{name='HybridAnalyzer', kind=STRUCT, scopeLevel=0}
Node: HybridAnalyzer       | Type: IdentifierNode            | Symbol: Symbol{name='HybridAnalyzer', kind=STRUCT, scopeLevel=0}
Node: left                 | Type: IdentifierNode            | Symbol: Symbol{name='left', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: right                | Type: IdentifierNode            | Symbol: Symbol{name='right', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: pos                  | Type: IdentifierNode            | Symbol: Symbol{name='pos', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='pos', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(pos)     | Type: PathExprSegNode           | Symbol: Symbol{name='pos', kind=PARAMETER, scopeLevel=1}
Node: pos                  | Type: IdentifierNode            | Symbol: Symbol{name='pos', kind=PARAMETER, scopeLevel=1}
