=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: PathExprSeg(a)       | Type: PathExprSegNode           | Symbol: Symbol{name='a', kind=PARAMETER, scopeLevel=1}
Node: a                    | Type: IdentifierNode            | Symbol: Symbol{name='a', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i)       | Type: PathExprSegNode           | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i)       | Type: PathExprSegNode           | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='k', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(k)       | Type: PathExprSegNode           | Symbol: Symbol{name='k', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: k                    | Type: IdentifierNode            | Symbol: Symbol{name='k', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i)       | Type: PathExprSegNode           | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='m', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(m)       | Type: PathExprSegNode           | Symbol: Symbol{name='m', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: m                    | Type: IdentifierNode            | Symbol: Symbol{name='m', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='tmp', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(tmp)     | Type: PathExprSegNode           | Symbol: Symbol{name='tmp', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: tmp                  | Type: IdentifierNode            | Symbol: Symbol{name='tmp', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='k', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(k)       | Type: PathExprSegNode           | Symbol: Symbol{name='k', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: k                    | Type: IdentifierNode            | Symbol: Symbol{name='k', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='a', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(a)       | Type: PathExprSegNode           | Symbol: Symbol{name='a', kind=PARAMETER, scopeLevel=1}
Node: a                    | Type: IdentifierNode            | Symbol: Symbol{name='a', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='j', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(j)       | Type: PathExprSegNode           | Symbol: Symbol{name='j', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: j                    | Type: IdentifierNode            | Symbol: Symbol{name='j', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='j', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(j)       | Type: PathExprSegNode           | Symbol: Symbol{name='j', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: j                    | Type: IdentifierNode            | Symbol: Symbol{name='j', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='k', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(k)       | Type: PathExprSegNode           | Symbol: Symbol{name='k', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: k                    | Type: IdentifierNode            | Symbol: Symbol{name='k', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='j', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(j)       | Type: PathExprSegNode           | Symbol: Symbol{name='j', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: j                    | Type: IdentifierNode            | Symbol: Symbol{name='j', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='r', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(r)       | Type: PathExprSegNode           | Symbol: Symbol{name='r', kind=PARAMETER, scopeLevel=1}
Node: r                    | Type: IdentifierNode            | Symbol: Symbol{name='r', kind=PARAMETER, scopeLevel=1}
Node: p                    | Type: IdentifierNode            | Symbol: Symbol{name='p', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='l', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(l)       | Type: PathExprSegNode           | Symbol: Symbol{name='l', kind=PARAMETER, scopeLevel=1}
Node: l                    | Type: IdentifierNode            | Symbol: Symbol{name='l', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='a', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(a)       | Type: PathExprSegNode           | Symbol: Symbol{name='a', kind=PARAMETER, scopeLevel=1}
Node: a                    | Type: IdentifierNode            | Symbol: Symbol{name='a', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='p', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(p)       | Type: PathExprSegNode           | Symbol: Symbol{name='p', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: p                    | Type: IdentifierNode            | Symbol: Symbol{name='p', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='tmp', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(tmp)     | Type: PathExprSegNode           | Symbol: Symbol{name='tmp', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: tmp                  | Type: IdentifierNode            | Symbol: Symbol{name='tmp', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='p', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(p)       | Type: PathExprSegNode           | Symbol: Symbol{name='p', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: p                    | Type: IdentifierNode            | Symbol: Symbol{name='p', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='p', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(p)       | Type: PathExprSegNode           | Symbol: Symbol{name='p', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: p                    | Type: IdentifierNode            | Symbol: Symbol{name='p', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='p', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(p)       | Type: PathExprSegNode           | Symbol: Symbol{name='p', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: p                    | Type: IdentifierNode            | Symbol: Symbol{name='p', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='r', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(r)       | Type: PathExprSegNode           | Symbol: Symbol{name='r', kind=PARAMETER, scopeLevel=1}
Node: r                    | Type: IdentifierNode            | Symbol: Symbol{name='r', kind=PARAMETER, scopeLevel=1}
Node: Function(median)     | Type: FunctionNode              | Symbol: Symbol{name='median', kind=FUNCTION, scopeLevel=0}
Node: median               | Type: IdentifierNode            | Symbol: Symbol{name='median', kind=FUNCTION, scopeLevel=0}
Node: v                    | Type: IdentifierNode            | Symbol: Symbol{name='v', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='LEN', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(LEN)     | Type: PathExprSegNode           | Symbol: Symbol{name='LEN', kind=CONSTANT, scopeLevel=0}
Node: LEN                  | Type: IdentifierNode            | Symbol: Symbol{name='LEN', kind=CONSTANT, scopeLevel=0}
