=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: PathExprSeg(getInt)  | Type: PathExprSegNode           | Symbol: Symbol{name='getInt', kind=FUNCTION, scopeLevel=0}
Node: getInt               | Type: IdentifierNode            | Symbol: Symbol{name='getInt', kind=FUNCTION, scopeLevel=0}
Node: processors           | Type: IdentifierNode            | Symbol: Symbol{name='processors', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(NumberProcessor) | Type: PathExprSegNode           | Symbol: Symbol{name='NumberProcessor', kind=STRUCT, scopeLevel=0}
Node: NumberProcessor      | Type: IdentifierNode            | Symbol: Symbol{name='NumberProcessor', kind=STRUCT, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(NumberProcessor) | Type: PathExprSegNode           | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: NumberProcessor      | Type: IdentifierNode            | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(new)     | Type: PathExprSegNode           | Symbol: null
Node: new                  | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(NumberProcessor) | Type: PathExprSegNode           | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: NumberProcessor      | Type: IdentifierNode            | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(new)     | Type: PathExprSegNode           | Symbol: null
Node: new                  | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(NumberProcessor) | Type: PathExprSegNode           | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: NumberProcessor      | Type: IdentifierNode            | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(new)     | Type: PathExprSegNode           | Symbol: null
Node: new                  | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(NumberProcessor) | Type: PathExprSegNode           | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: NumberProcessor      | Type: IdentifierNode            | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(new)     | Type: PathExprSegNode           | Symbol: null
Node: new                  | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(NumberProcessor) | Type: PathExprSegNode           | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: NumberProcessor      | Type: IdentifierNode            | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(new)     | Type: PathExprSegNode           | Symbol: null
Node: new                  | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(NumberProcessor) | Type: PathExprSegNode           | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: NumberProcessor      | Type: IdentifierNode            | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(new)     | Type: PathExprSegNode           | Symbol: null
Node: new                  | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(NumberProcessor) | Type: PathExprSegNode           | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: NumberProcessor      | Type: IdentifierNode            | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(new)     | Type: PathExprSegNode           | Symbol: null
Node: new                  | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(NumberProcessor) | Type: PathExprSegNode           | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: NumberProcessor      | Type: IdentifierNode            | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(new)     | Type: PathExprSegNode           | Symbol: null
Node: new                  | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(NumberProcessor) | Type: PathExprSegNode           | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: NumberProcessor      | Type: IdentifierNode            | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(new)     | Type: PathExprSegNode           | Symbol: null
Node: new                  | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(NumberProcessor) | Type: PathExprSegNode           | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: NumberProcessor      | Type: IdentifierNode            | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(new)     | Type: PathExprSegNode           | Symbol: null
Node: new                  | Type: IdentifierNode            | Symbol: null
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: val                  | Type: IdentifierNode            | Symbol: Symbol{name='val', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='getInt', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(getInt)  | Type: PathExprSegNode           | Symbol: Symbol{name='getInt', kind=FUNCTION, scopeLevel=0}
Node: getInt               | Type: IdentifierNode            | Symbol: Symbol{name='getInt', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='processors', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(processors) | Type: PathExprSegNode           | Symbol: Symbol{name='processors', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: processors           | Type: IdentifierNode            | Symbol: Symbol{name='processors', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i)       | Type: PathExprSegNode           | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='NumberProcessor', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
