=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='result', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(result)  | Type: PathExprSegNode           | Symbol: Symbol{name='result', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: result               | Type: IdentifierNode            | Symbol: Symbol{name='result', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='result', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(result)  | Type: PathExprSegNode           | Symbol: Symbol{name='result', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: result               | Type: IdentifierNode            | Symbol: Symbol{name='result', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='m', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(m)       | Type: PathExprSegNode           | Symbol: Symbol{name='m', kind=PARAMETER, scopeLevel=1}
Node: m                    | Type: IdentifierNode            | Symbol: Symbol{name='m', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='result', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(result)  | Type: PathExprSegNode           | Symbol: Symbol{name='result', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: result               | Type: IdentifierNode            | Symbol: Symbol{name='result', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: Function(brent_cycle_detection) | Type: FunctionNode              | Symbol: Symbol{name='brent_cycle_detection', kind=FUNCTION, scopeLevel=0}
Node: brent_cycle_detection | Type: IdentifierNode            | Symbol: Symbol{name='brent_cycle_detection', kind=FUNCTION, scopeLevel=0}
Node: initial_seed         | Type: IdentifierNode            | Symbol: Symbol{name='initial_seed', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: lcg_a                | Type: IdentifierNode            | Symbol: Symbol{name='lcg_a', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: lcg_c                | Type: IdentifierNode            | Symbol: Symbol{name='lcg_c', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: lcg_m                | Type: IdentifierNode            | Symbol: Symbol{name='lcg_m', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExprSeg(CycleInfo) | Type: PathExprSegNode           | Symbol: Symbol{name='CycleInfo', kind=STRUCT, scopeLevel=0}
Node: CycleInfo            | Type: IdentifierNode            | Symbol: Symbol{name='CycleInfo', kind=STRUCT, scopeLevel=0}
Node: power                | Type: IdentifierNode            | Symbol: Symbol{name='power', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: lambda               | Type: IdentifierNode            | Symbol: Symbol{name='lambda', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: tortoise             | Type: IdentifierNode            | Symbol: Symbol{name='tortoise', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='initial_seed', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(initial_seed) | Type: PathExprSegNode           | Symbol: Symbol{name='initial_seed', kind=PARAMETER, scopeLevel=1}
Node: initial_seed         | Type: IdentifierNode            | Symbol: Symbol{name='initial_seed', kind=PARAMETER, scopeLevel=1}
Node: hare                 | Type: IdentifierNode            | Symbol: Symbol{name='hare', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='lcg_next', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(lcg_next) | Type: PathExprSegNode           | Symbol: Symbol{name='lcg_next', kind=FUNCTION, scopeLevel=0}
Node: lcg_next             | Type: IdentifierNode            | Symbol: Symbol{name='lcg_next', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='initial_seed', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(initial_seed) | Type: PathExprSegNode           | Symbol: Symbol{name='initial_seed', kind=PARAMETER, scopeLevel=1}
Node: initial_seed         | Type: IdentifierNode            | Symbol: Symbol{name='initial_seed', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='lcg_a', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(lcg_a)   | Type: PathExprSegNode           | Symbol: Symbol{name='lcg_a', kind=PARAMETER, scopeLevel=1}
Node: lcg_a                | Type: IdentifierNode            | Symbol: Symbol{name='lcg_a', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='lcg_c', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(lcg_c)   | Type: PathExprSegNode           | Symbol: Symbol{name='lcg_c', kind=PARAMETER, scopeLevel=1}
Node: lcg_c                | Type: IdentifierNode            | Symbol: Symbol{name='lcg_c', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='lcg_m', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(lcg_m)   | Type: PathExprSegNode           | Symbol: Symbol{name='lcg_m', kind=PARAMETER, scopeLevel=1}
Node: lcg_m                | Type: IdentifierNode            | Symbol: Symbol{name='lcg_m', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='power', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(power)   | Type: PathExprSegNode           | Symbol: Symbol{name='power', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: power                | Type: IdentifierNode            | Symbol: Symbol{name='power', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='lambda', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(lambda)  | Type: PathExprSegNode           | Symbol: Symbol{name='lambda', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: lambda               | Type: IdentifierNode            | Symbol: Symbol{name='lambda', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='tortoise', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(tortoise) | Type: PathExprSegNode           | Symbol: Symbol{name='tortoise', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: tortoise             | Type: IdentifierNode            | Symbol: Symbol{name='tortoise', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='hare', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(hare)    | Type: PathExprSegNode           | Symbol: Symbol{name='hare', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: hare                 | Type: IdentifierNode            | Symbol: Symbol{name='hare', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='power', kind=LOCAL_VARIABLE, scopeLevel=2}
