=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Function(main)       | Type: FunctionNode              | Symbol: Symbol{name='main', kind=FUNCTION, scopeLevel=0}
Node: main                 | Type: IdentifierNode            | Symbol: Symbol{name='main', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(printlnInt) | Type: PathExprSegNode           | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: printlnInt           | Type: IdentifierNode            | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='testStringSearchAlgorithms', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(testStringSearchAlgorithms) | Type: PathExprSegNode           | Symbol: Symbol{name='testStringSearchAlgorithms', kind=FUNCTION, scopeLevel=0}
Node: testStringSearchAlgorithms | Type: IdentifierNode            | Symbol: Symbol{name='testStringSearchAlgorithms', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='testTextProcessingAlgorithms', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(testTextProcessingAlgorithms) | Type: PathExprSegNode           | Symbol: Symbol{name='testTextProcessingAlgorithms', kind=FUNCTION, scopeLevel=0}
Node: testTextProcessingAlgorithms | Type: IdentifierNode            | Symbol: Symbol{name='testTextProcessingAlgorithms', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='testStringParsingAlgorithms', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(testStringParsingAlgorithms) | Type: PathExprSegNode           | Symbol: Symbol{name='testStringParsingAlgorithms', kind=FUNCTION, scopeLevel=0}
Node: testStringParsingAlgorithms | Type: IdentifierNode            | Symbol: Symbol{name='testStringParsingAlgorithms', kind=FUNCTION, scopeLevel=0}
