=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='calculateFibonacciSum', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(calculateFibonacciSum) | Type: PathExprSegNode           | Symbol: Symbol{name='calculateFibonacciSum', kind=FUNCTION, scopeLevel=0}
Node: calculateFibonacciSum | Type: IdentifierNode            | Symbol: Symbol{name='calculateFibonacciSum', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(printlnInt) | Type: PathExprSegNode           | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: printlnInt           | Type: IdentifierNode            | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='fibonacci_sum', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(fibonacci_sum) | Type: PathExprSegNode           | Symbol: Symbol{name='fibonacci_sum', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: fibonacci_sum        | Type: IdentifierNode            | Symbol: Symbol{name='fibonacci_sum', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: factorial_series     | Type: IdentifierNode            | Symbol: Symbol{name='factorial_series', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='calculateFactorialSeries', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(calculateFactorialSeries) | Type: PathExprSegNode           | Symbol: Symbol{name='calculateFactorialSeries', kind=FUNCTION, scopeLevel=0}
Node: calculateFactorialSeries | Type: IdentifierNode            | Symbol: Symbol{name='calculateFactorialSeries', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(printlnInt) | Type: PathExprSegNode           | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: printlnInt           | Type: IdentifierNode            | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='factorial_series', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(factorial_series) | Type: PathExprSegNode           | Symbol: Symbol{name='factorial_series', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: factorial_series     | Type: IdentifierNode            | Symbol: Symbol{name='factorial_series', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: harmonic_approx      | Type: IdentifierNode            | Symbol: Symbol{name='harmonic_approx', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='calculateHarmonicSeries', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(calculateHarmonicSeries) | Type: PathExprSegNode           | Symbol: Symbol{name='calculateHarmonicSeries', kind=FUNCTION, scopeLevel=0}
