=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Struct(FS)           | Type: StructNode                | Symbol: Symbol{name='FS', kind=STRUCT, scopeLevel=0}
Node: FS                   | Type: IdentifierNode            | Symbol: Symbol{name='FS', kind=STRUCT, scopeLevel=0}
Node: Field(fs_data)       | Type: FieldNode                 | Symbol: Symbol{name='fs_data', kind=FIELD, scopeLevel=0}
Node: fs_data              | Type: IdentifierNode            | Symbol: Symbol{name='fs_data', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(inode_table_type) | Type: FieldNode                 | Symbol: Symbol{name='inode_table_type', kind=FIELD, scopeLevel=0}
Node: inode_table_type     | Type: IdentifierNode            | Symbol: Symbol{name='inode_table_type', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(inode_table_size) | Type: FieldNode                 | Symbol: Symbol{name='inode_table_size', kind=FIELD, scopeLevel=0}
Node: inode_table_size     | Type: IdentifierNode            | Symbol: Symbol{name='inode_table_size', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(inode_table_blocks) | Type: FieldNode                 | Symbol: Symbol{name='inode_table_blocks', kind=FIELD, scopeLevel=0}
Node: inode_table_blocks   | Type: IdentifierNode            | Symbol: Symbol{name='inode_table_blocks', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(free_block_bitmap) | Type: FieldNode                 | Symbol: Symbol{name='free_block_bitmap', kind=FIELD, scopeLevel=0}
Node: free_block_bitmap    | Type: IdentifierNode            | Symbol: Symbol{name='free_block_bitmap', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(bool)    | Type: PathExprSegNode           | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: bool                 | Type: IdentifierNode            | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(free_inode_bitmap) | Type: FieldNode                 | Symbol: Symbol{name='free_inode_bitmap', kind=FIELD, scopeLevel=0}
Node: free_inode_bitmap    | Type: IdentifierNode            | Symbol: Symbol{name='free_inode_bitmap', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(bool)    | Type: PathExprSegNode           | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: bool                 | Type: IdentifierNode            | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Function(new_fs)     | Type: FunctionNode              | Symbol: Symbol{name='new_fs', kind=FUNCTION, scopeLevel=0}
Node: new_fs               | Type: IdentifierNode            | Symbol: Symbol{name='new_fs', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(FS)      | Type: PathExprSegNode           | Symbol: Symbol{name='FS', kind=STRUCT, scopeLevel=0}
Node: FS                   | Type: IdentifierNode            | Symbol: Symbol{name='FS', kind=STRUCT, scopeLevel=0}
Node: fs                   | Type: IdentifierNode            | Symbol: Symbol{name='fs', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(FS)      | Type: PathExprSegNode           | Symbol: Symbol{name='FS', kind=STRUCT, scopeLevel=0}
Node: FS                   | Type: IdentifierNode            | Symbol: Symbol{name='FS', kind=STRUCT, scopeLevel=0}
Node: StructExpr           | Type: StructExprNode            | Symbol: Symbol{name='FS', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(FS)      | Type: PathExprSegNode           | Symbol: Symbol{name='FS', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: FS                   | Type: IdentifierNode            | Symbol: Symbol{name='FS', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: FieldVal(fs_data)    | Type: FieldValNode              | Symbol: Symbol{name='fs_data', kind=FIELD, scopeLevel=0}
Node: fs_data              | Type: IdentifierNode            | Symbol: Symbol{name='fs_data', kind=FIELD, scopeLevel=0}
Node: FieldVal(inode_table_type) | Type: FieldValNode              | Symbol: Symbol{name='inode_table_type', kind=FIELD, scopeLevel=0}
Node: inode_table_type     | Type: IdentifierNode            | Symbol: Symbol{name='inode_table_type', kind=FIELD, scopeLevel=0}
Node: FieldVal(inode_table_size) | Type: FieldValNode              | Symbol: Symbol{name='inode_table_size', kind=FIELD, scopeLevel=0}
Node: inode_table_size     | Type: IdentifierNode            | Symbol: Symbol{name='inode_table_size', kind=FIELD, scopeLevel=0}
Node: FieldVal(inode_table_blocks) | Type: FieldValNode              | Symbol: Symbol{name='inode_table_blocks', kind=FIELD, scopeLevel=0}
Node: inode_table_blocks   | Type: IdentifierNode            | Symbol: Symbol{name='inode_table_blocks', kind=FIELD, scopeLevel=0}
Node: FieldVal(free_block_bitmap) | Type: FieldValNode              | Symbol: Symbol{name='free_block_bitmap', kind=FIELD, scopeLevel=0}
Node: free_block_bitmap    | Type: IdentifierNode            | Symbol: Symbol{name='free_block_bitmap', kind=FIELD, scopeLevel=0}
Node: FieldVal(free_inode_bitmap) | Type: FieldValNode              | Symbol: Symbol{name='free_inode_bitmap', kind=FIELD, scopeLevel=0}
Node: free_inode_bitmap    | Type: IdentifierNode            | Symbol: Symbol{name='free_inode_bitmap', kind=FIELD, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='fs', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(fs)      | Type: PathExprSegNode           | Symbol: Symbol{name='fs', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: fs                   | Type: IdentifierNode            | Symbol: Symbol{name='fs', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: Function(fs_format)  | Type: FunctionNode              | Symbol: Symbol{name='fs_format', kind=FUNCTION, scopeLevel=0}
Node: fs_format            | Type: IdentifierNode            | Symbol: Symbol{name='fs_format', kind=FUNCTION, scopeLevel=0}
Node: fs                   | Type: IdentifierNode            | Symbol: Symbol{name='fs', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(FS)      | Type: PathExprSegNode           | Symbol: Symbol{name='FS', kind=STRUCT, scopeLevel=0}
Node: FS                   | Type: IdentifierNode            | Symbol: Symbol{name='FS', kind=STRUCT, scopeLevel=0}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='fs', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(fs)      | Type: PathExprSegNode           | Symbol: Symbol{name='fs', kind=PARAMETER, scopeLevel=1}
Node: fs                   | Type: IdentifierNode            | Symbol: Symbol{name='fs', kind=PARAMETER, scopeLevel=1}
Node: free_block_bitmap    | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i)       | Type: PathExprSegNode           | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i)       | Type: PathExprSegNode           | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i)       | Type: PathExprSegNode           | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
