=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Function(main)       | Type: FunctionNode              | Symbol: Symbol{name='main', kind=FUNCTION, scopeLevel=0}
Node: main                 | Type: IdentifierNode            | Symbol: Symbol{name='main', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(printlnInt) | Type: PathExprSegNode           | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: printlnInt           | Type: IdentifierNode            | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='performMemoryPoolOperations', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(performMemoryPoolOperations) | Type: PathExprSegNode           | Symbol: Symbol{name='performMemoryPoolOperations', kind=FUNCTION, scopeLevel=0}
Node: performMemoryPoolOperations | Type: IdentifierNode            | Symbol: Symbol{name='performMemoryPoolOperations', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='performBuddyAllocationTest', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(performBuddyAllocationTest) | Type: PathExprSegNode           | Symbol: Symbol{name='performBuddyAllocationTest', kind=FUNCTION, scopeLevel=0}
Node: performBuddyAllocationTest | Type: IdentifierNode            | Symbol: Symbol{name='performBuddyAllocationTest', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='performGarbageCollectionTest', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(performGarbageCollectionTest) | Type: PathExprSegNode           | Symbol: Symbol{name='performGarbageCollectionTest', kind=FUNCTION, scopeLevel=0}
Node: performGarbageCollectionTest | Type: IdentifierNode            | Symbol: Symbol{name='performGarbageCollectionTest', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='performFragmentationTest', kind=FUNCTION, scopeLevel=0}
