=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Function(pm_rand_update) | Type: FunctionNode              | Symbol: Symbol{name='pm_rand_update', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(new_x)   | Type: PathExprSegNode           | Symbol: Symbol{name='new_x', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: new_x                | Type: IdentifierNode            | Symbol: Symbol{name='new_x', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='new_x', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(new_x)   | Type: PathExprSegNode           | Symbol: Symbol{name='new_x', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: new_x                | Type: IdentifierNode            | Symbol: Symbol{name='new_x', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='m', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(m)       | Type: PathExprSegNode           | Symbol: Symbol{name='m', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: m                    | Type: IdentifierNode            | Symbol: Symbol{name='m', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='new_x', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(new_x)   | Type: PathExprSegNode           | Symbol: Symbol{name='new_x', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: new_x                | Type: IdentifierNode            | Symbol: Symbol{name='new_x', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: Const(GRID_WIDTH)    | Type: ConstItemNode             | Symbol: Symbol{name='GRID_WIDTH', kind=CONSTANT, scopeLevel=0}
Node: GRID_WIDTH           | Type: IdentifierNode            | Symbol: Symbol{name='GRID_WIDTH', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(GRID_HEIGHT)   | Type: ConstItemNode             | Symbol: Symbol{name='GRID_HEIGHT', kind=CONSTANT, scopeLevel=0}
Node: GRID_HEIGHT          | Type: IdentifierNode            | Symbol: Symbol{name='GRID_HEIGHT', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(NUM_AGENTS)    | Type: ConstItemNode             | Symbol: Symbol{name='NUM_AGENTS', kind=CONSTANT, scopeLevel=0}
Node: NUM_AGENTS           | Type: IdentifierNode            | Symbol: Symbol{name='NUM_AGENTS', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
