=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Function(main)       | Type: FunctionNode              | Symbol: Symbol{name='main', kind=FUNCTION, scopeLevel=0}
Node: main                 | Type: IdentifierNode            | Symbol: Symbol{name='main', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(printlnInt) | Type: PathExprSegNode           | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: printlnInt           | Type: IdentifierNode            | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='testGraphTraversalAlgorithms', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(testGraphTraversalAlgorithms) | Type: PathExprSegNode           | Symbol: Symbol{name='testGraphTraversalAlgorithms', kind=FUNCTION, scopeLevel=0}
Node: testGraphTraversalAlgorithms | Type: IdentifierNode            | Symbol: Symbol{name='testGraphTraversalAlgorithms', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='testShortestPathAlgorithms', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(testShortestPathAlgorithms) | Type: PathExprSegNode           | Symbol: Symbol{name='testShortestPathAlgorithms', kind=FUNCTION, scopeLevel=0}
Node: testShortestPathAlgorithms | Type: IdentifierNode            | Symbol: Symbol{name='testShortestPathAlgorithms', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='testMinimumSpanningTreeAlgorithms', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(testMinimumSpanningTreeAlgorithms) | Type: PathExprSegNode           | Symbol: Symbol{name='testMinimumSpanningTreeAlgorithms', kind=FUNCTION, scopeLevel=0}
Node: testMinimumSpanningTreeAlgorithms | Type: IdentifierNode            | Symbol: Symbol{name='testMinimumSpanningTreeAlgorithms', kind=FUNCTION, scopeLevel=0}
