=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Function(main)       | Type: FunctionNode              | Symbol: Symbol{name='main', kind=FUNCTION, scopeLevel=0}
Node: main                 | Type: IdentifierNode            | Symbol: Symbol{name='main', kind=FUNCTION, scopeLevel=0}
Node: Struct(Chromosome)   | Type: StructNode                | Symbol: Symbol{name='Chromosome', kind=STRUCT, scopeLevel=2}
Node: Chromosome           | Type: IdentifierNode            | Symbol: Symbol{name='Chromosome', kind=STRUCT, scopeLevel=2}
Node: Field(genes)         | Type: FieldNode                 | Symbol: Symbol{name='genes', kind=FIELD, scopeLevel=2}
Node: genes                | Type: IdentifierNode            | Symbol: Symbol{name='genes', kind=FIELD, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(fitness)       | Type: FieldNode                 | Symbol: Symbol{name='fitness', kind=FIELD, scopeLevel=2}
Node: fitness              | Type: IdentifierNode            | Symbol: Symbol{name='fitness', kind=FIELD, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: population           | Type: IdentifierNode            | Symbol: Symbol{name='population', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(Chromosome) | Type: PathExprSegNode           | Symbol: Symbol{name='Chromosome', kind=STRUCT, scopeLevel=2}
Node: Chromosome           | Type: IdentifierNode            | Symbol: Symbol{name='Chromosome', kind=STRUCT, scopeLevel=2}
Node: StructExpr           | Type: StructExprNode            | Symbol: Symbol{name='Chromosome', kind=STRUCT_CONSTRUCTOR, scopeLevel=2}
Node: PathExprSeg(Chromosome) | Type: PathExprSegNode           | Symbol: Symbol{name='Chromosome', kind=STRUCT_CONSTRUCTOR, scopeLevel=2}
Node: Chromosome           | Type: IdentifierNode            | Symbol: Symbol{name='Chromosome', kind=STRUCT_CONSTRUCTOR, scopeLevel=2}
Node: FieldVal(genes)      | Type: FieldValNode              | Symbol: Symbol{name='genes', kind=FIELD, scopeLevel=2}
Node: genes                | Type: IdentifierNode            | Symbol: Symbol{name='genes', kind=FIELD, scopeLevel=2}
Node: FieldVal(fitness)    | Type: FieldValNode              | Symbol: Symbol{name='fitness', kind=FIELD, scopeLevel=2}
Node: fitness              | Type: IdentifierNode            | Symbol: Symbol{name='fitness', kind=FIELD, scopeLevel=2}
Node: rng_seed             | Type: IdentifierNode            | Symbol: Symbol{name='rng_seed', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Function(pseudo_rand) | Type: FunctionNode              | Symbol: Symbol{name='pseudo_rand', kind=FUNCTION, scopeLevel=2}
Node: pseudo_rand          | Type: IdentifierNode            | Symbol: Symbol{name='pseudo_rand', kind=FUNCTION, scopeLevel=2}
Node: seed                 | Type: IdentifierNode            | Symbol: Symbol{name='seed', kind=PARAMETER, scopeLevel=3}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
